step,gradient,weight_corrected,weight_uncorrected,signed_update_corrected,signed_update_uncorrected,abs_update_gap,relative_update_gap,correction_multiplier,relative_multiplier_gap
1,0.1,0.9990000001,0.9968377323398,-0.0009999998999999926,-0.003162267660200002,0.0021622677602000095,2.1622679764268233,0.3162277660168381,0.6837722339831619
2,-0.2,0.9993661036038849,0.9983935206448037,0.0003661035038848848,0.0015557883050036914,0.0011896848011188066,3.2495859463090073,0.23531672532745276,0.7646832746725473
3,0.05,0.9995027942566022,0.9990701706623032,0.000136690652717264,0.0006766500174995027,0.0005399593647822387,3.950228885797412,0.2020105974389679,0.7979894025610321
4,-0.1,0.9998380583034249,1.0008945468536359,0.00033526404682271416,0.0018243761913326884,0.0014891121445099742,4.441610004479272,0.18376892374498519,0.8162310762550148
5,0.15,0.9998000189010494,1.0006740273274262,-3.8039402375456e-05,-0.00022051952620971704,0.00018248012383426104,4.797134351195852,0.17249884690452813,0.8275011530954719
6,0.1,0.9995993830128437,0.999458849913342,-0.00020063588820573575,-0.0012151774140841676,0.0010145415258784318,5.056630371322712,0.16510815268402332,0.8348918473159767
7,-0.2,0.9997284802100329,1.0002650488123583,0.00012909719718923185,0.0008061988990163416,0.0006771017018271097,5.244898545973913,0.16013057743679973,0.8398694225632003
8,0.05,0.9997742773929253,1.0005571760088303,4.5797182892437505e-05,0.0002921271964719807,0.0002463300135795432,5.378715414834385,0.15677125516997972,0.8432287448300203
9,-0.1,0.9999410564378688,1.0016362486193073,0.00016677904494344364,0.0010790726104770165,0.0009122935655335729,5.470073088876005,0.15455764397831934,0.8454423560216806
10,0.15,0.9999030170354933,1.0013879321103651,-3.8039402375456e-05,-0.00024831650894219237,0.00021027710656673637,5.527876187203524,0.1531890739511824,0.8468109260488176
11,0.1,0.9997559537171932,1.0004233550530413,-0.00014706331830016683,-0.0009645770573238899,0.000817513739023723,5.5589235199706195,0.15246394135025237,0.8475360586497476
12,-0.2,0.9998422226322594,1.000990013827636,8.626891506624546e-05,0.0005666587745947194,0.0004803898595284739,5.568516297667416,0.15224129051350335,0.8477587094864967
13,0.05,0.9998683078726882,1.0011611552412147,2.6085240428797007e-05,0.0001711414135787681,0.0001450561731499711,5.560852450101828,0.1524191271813757,0.8475808728186243
14,-0.1,0.9999919861764183,1.001969924677957,0.00012367830373005706,0.0008087694367422404,0.0006850911330121834,5.539299233174139,0.15292149570034197,0.847078504299658
15,0.15,0.9999539467740428,1.001722418169052,-3.8039402375456e-05,-0.00024750650890492665,0.00020946710652947065,5.5065824762963205,0.15369042840954503,0.846309571590455
16,0.1,0.9998247468720152,1.00088715042822,-0.00012919990202764353,-0.0008352677408320908,0.0007060678388044472,5.464925497028453,0.15468074017146757,0.8453192598285324
17,-0.2,0.9998947097649067,1.0013360430536076,6.996289289151747e-05,0.0004488926253876091,0.00037892973249609163,5.416153003902363,0.15585655442731472,0.8441434455726853
18,0.05,0.9999129741510544,1.0014522368476113,1.8264386147714973e-05,0.0001161937940037383,9.792940785602333e-05,5.361768365167593,0.1571889208164824,0.8428110791835176
19,-0.1,1.0000187582114295,1.0021189954174348,0.00010578406037509147,0.0006667585698234557,0.0005609745094483642,5.303015477561065,0.15865414215129423,0.8413458578487057
20,0.15,0.999980718809054,1.001881594348217,-3.8039402375456e-05,-0.00023740106921765758,0.00019936166684220158,5.24092531408524,0.1602325747308485,0.8397674252691515
