schedule,peak_lr,decay_start,step300_val_loss_mean,step300_val_loss_std,step300_train_loss_mean
cosine,0.0035,,1.0772667328516643,0.0020862021794418703,0.7659794290860494
cosine,0.0045,,1.061678171157837,0.0009448018711237818,0.6897328694661459
cosine,0.0055,,1.0550241072972615,0.0010696366924348724,0.6219671368598938
cosine,0.0065,,1.0553929408391316,0.0034018757368050067,0.5606739322344462
cosine,0.0075,,1.061532696088155,0.0059393346342810375,0.5045487483342489
wsd,0.0025,210.0,1.0737561384836833,0.002221609719169366,0.7172002991040548
wsd,0.0025,240.0,1.076478640238444,0.003794198504542752,0.692047119140625
wsd,0.0025,270.0,1.0873751640319824,0.005450953416799935,0.6707765062650045
wsd,0.0035,210.0,1.061488111813863,0.0047742729866964324,0.5856750011444092
wsd,0.0035,240.0,1.068767786026001,0.006896756169804553,0.5538956522941589
wsd,0.0035,270.0,1.0906209548314412,0.008952868159313485,0.5337819854418436
wsd,0.0045,210.0,1.0680956443150837,0.0073081610333699445,0.4801916480064392
wsd,0.0045,240.0,1.0821294784545898,0.00903712821928771,0.44674461086591083
wsd,0.0045,270.0,1.1143872340520222,0.011532120377294314,0.4312206407388051
wsd,0.0055,210.0,1.0882078409194946,0.009513247031458269,0.403517613808314
wsd,0.0055,240.0,1.1093614101409912,0.011013067461900233,0.37274041771888733
wsd,0.0055,270.0,1.1507145563761394,0.015894850595286666,0.3676975965499878
