phase,width,peak_lr,seed,train_loss,val_loss
fine,256,0.004,41,0.9827929735183716,1.1695315837860107
fine,256,0.004,42,1.028120517730713,1.1620999574661255
fine,256,0.004,43,1.0144304037094116,1.1657321453094482
fine,256,0.005,41,0.9387643933296204,1.152372121810913
fine,256,0.005,42,0.9732642769813538,1.142446756362915
fine,256,0.005,43,0.9608069062232971,1.1490919589996338
fine,256,0.006,41,0.9022568464279175,1.1419025659561157
fine,256,0.006,42,0.9260697960853577,1.1305209398269653
fine,256,0.006,43,0.9133323431015015,1.1407874822616577
fine,256,0.008,41,0.836306095123291,1.131097435951233
fine,256,0.008,42,0.8449825644493103,1.1191933155059814
fine,256,0.008,43,0.8266305923461914,1.1376315355300903
fine,256,0.01,41,0.7809345126152039,1.1296602487564087
fine,256,0.01,42,0.7806870937347412,1.116653561592102
fine,256,0.01,43,0.7543013095855713,1.1421942710876465
fine,256,0.012,41,0.7335546612739563,1.1365734338760376
fine,256,0.012,42,0.725672721862793,1.119989275932312
fine,256,0.012,43,0.7023453712463379,1.1510432958602905
fine,512,0.004,41,0.9116594791412354,1.1173043251037598
fine,512,0.004,42,0.9187543988227844,1.1203235387802124
fine,512,0.004,43,0.9153112173080444,1.1186869144439697
fine,512,0.005,41,0.8595989942550659,1.107245683670044
fine,512,0.005,42,0.854487419128418,1.1082950830459595
fine,512,0.005,43,0.8517568111419678,1.1068509817123413
fine,512,0.006,41,0.8122407793998718,1.10221266746521
fine,512,0.006,42,0.7965118288993835,1.1018694639205933
fine,512,0.006,43,0.793584942817688,1.1010392904281616
fine,512,0.008,41,0.7290884256362915,1.098847508430481
fine,512,0.008,42,0.6998328566551208,1.1000277996063232
fine,512,0.008,43,0.6999907493591309,1.101179599761963
fine,512,0.01,41,0.6605372428894043,1.1018145084381104
fine,512,0.01,42,0.6208480000495911,1.1079665422439575
fine,512,0.01,43,0.637759268283844,1.1123692989349365
fine,512,0.012,41,0.603240430355072,1.1113266944885254
fine,512,0.012,42,0.5539144277572632,1.1195114850997925
fine,512,0.012,43,0.5892412066459656,1.1283001899719238
fine,1024,0.004,41,0.8111482262611389,1.0926107168197632
fine,1024,0.004,42,0.7919977307319641,1.099757194519043
fine,1024,0.004,43,0.8248482346534729,1.0951167345046997
fine,1024,0.005,41,0.7421846985816956,1.0847944021224976
fine,1024,0.005,42,0.722515344619751,1.0937292575836182
fine,1024,0.005,43,0.7546060681343079,1.0867410898208618
fine,1024,0.006,41,0.6808786392211914,1.0814663171768188
fine,1024,0.006,42,0.6604931354522705,1.0917351245880127
fine,1024,0.006,43,0.6948649287223816,1.0831900835037231
fine,1024,0.008,41,0.5795347690582275,1.0854591131210327
fine,1024,0.008,42,0.5588131546974182,1.0959793329238892
fine,1024,0.008,43,0.6030610203742981,1.089294672012329
fine,1024,0.01,41,0.5050432682037354,1.0989387035369873
fine,1024,0.01,42,0.4887513220310211,1.1086397171020508
fine,1024,0.01,43,0.5360621809959412,1.1085253953933716
fine,1024,0.012,41,0.4545343816280365,1.1192578077316284
fine,1024,0.012,42,0.4414575397968292,1.1292328834533691
fine,1024,0.012,43,0.48573607206344604,1.1341450214385986
